,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Chui,70,UY,1594928238,79,-33.7,-53.46,52.81,6.85
86,Longyearbyen,75,SJ,1594928144,75,78.22,15.64,46.4,3.36
87,Ixtapa,75,MX,1594928238,74,20.7,-105.2,91.0,10.29
88,Kaitangata,39,NZ,1594928238,73,-46.28,169.85,39.99,1.01
89,Kavaratti,100,IN,1594928238,80,10.57,72.64,82.89,22.44
90,Cartagena del Chairá,6,CO,1594928238,57,1.33,-74.84,86.41,3.53
91,Batticaloa,100,LK,1594928238,73,7.71,81.69,81.32,4.97
92,Saskylakh,100,RU,1594928238,61,71.92,114.08,47.57,21.81
93,Keti Bandar,100,PK,1594928239,81,24.14,67.45,85.78,20.0
94,Omutninsk,96,RU,1594928239,96,58.67,52.19,62.51,0.94
95,Filoti,0,GR,1594928239,69,37.05,25.5,75.0,3.36
96,Mount Isa,0,AU,1594928121,34,-20.73,139.5,51.8,4.7
97,Hong Kong,100,HK,1594928057,83,22.29,114.16,84.0,8.01
98,Kahului,20,US,1594928239,54,20.89,-156.47,84.2,14.99
99,Lorengau,63,PG,1594928239,70,-2.02,147.27,81.7,2.59
100,Clyde River,75,CA,1594928239,55,70.47,-68.59,64.4,12.75
101,Santoña,40,ES,1594928240,72,43.44,-3.46,68.0,3.36
102,Katsuura,75,JP,1594928240,93,35.13,140.3,66.99,12.75
103,Lázaro Cárdenas,1,MX,1594928240,68,17.96,-102.2,87.51,8.46
104,Krasnosel'kup,20,RU,1594928240,78,65.7,82.47,45.72,13.22
105,Esim,6,GH,1594928240,87,4.87,-2.24,74.34,6.55
106,Saurimo,0,AO,1594928240,27,-9.66,20.39,64.72,6.35
107,Chifeng,72,CN,1594928240,62,42.27,118.96,72.41,5.99
108,Vardø,68,NO,1594928240,87,70.37,31.11,53.6,4.7
109,Emerald,0,AU,1594928240,56,-23.53,148.17,42.8,6.93
110,Nyurba,95,RU,1594928241,74,63.28,118.33,59.52,5.44
111,Assiut,0,EG,1594928241,35,27.18,31.18,87.8,11.41
112,Tuatapere,54,NZ,1594927683,94,-46.13,167.68,33.13,4.09
113,Bethel,75,US,1594927516,64,41.37,-73.41,77.0,8.05
114,Tres Picos,27,MX,1594928241,60,15.87,-93.53,89.74,3.53
115,Santiago,100,CL,1594927467,58,-33.46,-70.65,53.6,2.44
116,Balabac,100,PH,1594928241,78,7.99,117.06,82.35,10.89
117,Tuktoyaktuk,75,CA,1594928241,62,69.45,-133.04,53.6,12.75
118,East London,0,ZA,1594928242,40,-33.02,27.91,58.35,5.66
119,Baykit,64,RU,1594927669,88,61.67,96.37,53.13,8.63
120,Upernavik,50,GL,1594928242,82,72.79,-56.15,44.64,7.45
121,Souillac,75,MU,1594928242,83,-20.52,57.52,69.8,6.93
122,Provideniya,75,RU,1594928242,75,64.38,-173.3,46.4,3.47
123,Tigzirt,0,DZ,1594928242,77,36.89,4.12,73.65,13.18
124,Santa Lucía,5,ES,1594928242,73,27.91,-15.54,79.0,24.16
125,Japura,2,ID,1594928242,97,-0.32,102.35,73.42,0.74
126,Druzhba,8,UA,1594928243,86,52.04,33.95,55.78,2.68
127,San Patricio,75,MX,1594928243,75,19.22,-104.7,89.6,11.41
128,Lichinga,0,MZ,1594928243,77,-13.31,35.24,47.17,9.35
129,Mahébourg,75,MU,1594927647,83,-20.41,57.7,69.8,6.93
130,Iseyin,100,NG,1594928243,97,7.97,3.6,71.29,6.08
131,Salalah,75,OM,1594927696,94,17.02,54.09,82.4,8.05
132,Dārāb,86,IR,1594928243,36,28.75,54.54,81.07,4.07
133,Iqaluit,75,CA,1594928243,57,63.75,-68.51,51.8,8.05
134,Hualmay,23,PE,1594928244,69,-11.1,-77.61,65.26,9.19
135,Kortkeros,40,RU,1594928244,88,61.81,51.58,68.0,4.47
136,Dryden,40,CA,1594928167,47,49.78,-92.75,77.0,18.34
137,Bariloche,90,AR,1594927683,80,-41.15,-71.31,39.2,3.36
138,Naze,75,JP,1594927705,94,28.37,129.48,80.6,12.75
139,South Shields,20,GB,1594928244,68,55.0,-1.43,69.01,11.41
140,Stepnogorsk,18,KZ,1594928244,55,52.35,71.89,67.75,8.01
141,Cabo San Lucas,5,MX,1594927464,66,22.89,-109.91,91.4,11.41
143,Hasaki,75,JP,1594928244,93,35.73,140.83,64.4,9.17
144,Meulaboh,100,ID,1594928245,89,4.14,96.13,76.78,4.43
145,Vao,66,NC,1594928245,63,-22.67,167.48,69.13,12.57
146,Saint Paul Harbor,90,US,1594928061,76,57.79,-152.41,57.2,5.82
147,Airai,1,TL,1594928245,93,-8.93,125.41,56.46,2.82
148,Marawi,100,PH,1594927657,91,8.0,124.29,75.0,4.0
149,Kushima,83,JP,1594927668,92,31.46,131.23,71.38,2.62
150,Talnakh,40,RU,1594928245,87,69.49,88.4,48.2,11.18
151,Stillwater,1,US,1594927999,62,36.12,-97.06,86.0,8.05
152,Urusha,51,RU,1594928246,77,54.05,122.9,64.63,3.49
153,Padang,100,ID,1594927658,84,-0.95,100.35,77.83,8.21
154,Dalvik,75,IS,1594928246,93,65.97,-18.53,51.8,11.41
155,Porosozero,100,RU,1594928246,72,62.72,32.73,52.5,7.31
156,Show Low,1,US,1594928202,26,34.25,-110.03,82.4,13.87
157,Pacifica,20,US,1594928246,63,37.61,-122.49,70.0,10.29
158,Jieshi,89,CN,1594928246,86,22.81,115.83,82.87,10.85
159,Tiksi,9,RU,1594928246,86,71.69,128.87,36.7,19.62
160,Ushumun,15,RU,1594928246,94,52.78,126.53,63.64,7.09
161,Los Llanos de Aridane,20,ES,1594928246,73,28.66,-17.92,73.4,11.41
162,Alice Springs,4,AU,1594927981,69,-23.7,133.88,33.8,5.82
163,Taltal,20,CL,1594928247,45,-25.4,-70.48,66.24,5.3
164,Pisco,90,PE,1594928247,87,-13.7,-76.22,62.01,3.36
165,Kangaatsiaq,92,GL,1594928247,86,68.31,-53.46,44.67,8.23
166,Dali,99,CN,1594928247,86,25.7,100.18,63.77,5.44
167,Ust-Maya,5,RU,1594928247,77,60.42,134.53,62.82,0.92
168,Bom Jesus,0,BR,1594928247,32,-9.07,-44.36,88.45,8.81
169,Touros,75,BR,1594927486,83,-5.2,-35.46,77.0,9.17
170,George Town,40,MY,1594928248,94,5.41,100.34,77.0,3.36
171,Batagay-Alyta,100,RU,1594928248,60,67.8,130.41,48.87,2.66
172,Ust-Kuyga,0,RU,1594927689,77,70.02,135.6,41.79,6.26
173,Severodvinsk,75,RU,1594928248,93,64.56,39.83,53.6,6.71
174,Belmonte,75,BR,1594928248,73,-15.86,-38.88,75.2,10.29
175,Odesa,11,UA,1594928248,72,46.48,30.73,66.2,4.29
176,Bon Air,40,US,1594927949,49,37.52,-77.56,93.0,6.93
177,Adrar,0,MR,1594928248,22,20.5,-10.07,94.1,16.58
178,San Cristobal,20,VE,1594928248,34,7.77,-72.22,95.0,20.8
179,Chapais,90,CA,1594928248,93,49.78,-74.85,64.4,10.29
180,Cherskiy,100,RU,1594927694,64,68.75,161.3,48.06,3.58
181,Derzhavīnsk,0,KZ,1594928249,52,51.1,66.32,69.04,9.53
182,Camacha,20,PT,1594927713,69,33.08,-16.33,73.4,12.75
183,Opuwo,0,NA,1594928249,33,-18.06,13.84,58.64,12.71
184,Kaka,95,TM,1594928249,37,37.35,59.61,85.35,11.21
185,Whitehorse,75,CA,1594928213,76,60.72,-135.05,55.99,2.24
187,Norman Wells,90,CA,1594928250,82,65.28,-126.83,62.6,10.29
188,Cayenne,84,GF,1594928250,78,4.93,-52.33,82.4,2.24
189,Afşin,0,TR,1594928250,56,38.25,36.91,71.13,3.2
190,Auchi,99,NG,1594928250,98,7.07,6.27,71.4,4.09
191,Bambous Virieux,75,MU,1594928250,83,-20.34,57.76,69.8,6.93
192,Springfield,1,US,1594928174,58,37.22,-93.3,86.0,5.82
193,Narsaq,20,GL,1594928250,36,60.92,-46.05,64.4,9.17
194,Paamiut,27,GL,1594927496,84,61.99,-49.67,44.51,21.77
195,Te Anau,44,NZ,1594928250,96,-45.42,167.72,29.93,0.87
196,Rojhan,10,PK,1594928251,32,28.69,69.95,100.8,10.85
197,Tasiilaq,40,GL,1594928251,66,65.61,-37.64,48.2,13.87
198,Rosarito,5,MX,1594928251,64,32.33,-117.03,81.0,11.41
199,Omsukchan,99,RU,1594928251,89,62.53,155.8,50.11,6.89
200,Bandarbeyla,0,SO,1594927508,53,9.49,50.81,83.97,25.41
201,Kieta,100,PG,1594927514,79,-6.22,155.63,78.87,5.97
204,Bathsheba,40,BB,1594928252,62,13.22,-59.52,87.8,16.11
205,Tucumcari,1,US,1594928252,33,35.17,-103.72,91.4,12.75
206,Ketchikan,90,US,1594928252,82,55.34,-131.65,59.0,8.05
207,Leeton,90,AU,1594928252,91,-34.57,146.4,32.0,1.14
209,Lazarev,97,RU,1594928252,98,52.23,141.51,55.67,19.53
210,Nelson,99,NZ,1594928252,62,-41.28,173.28,48.0,5.95
211,Viedma,0,AR,1594928144,62,-40.81,-63.0,60.01,1.99
212,Zhezkazgan,0,KZ,1594928253,26,47.8,67.71,77.65,17.6
213,Pangai,20,TO,1594928253,73,-19.8,-174.35,77.0,13.87
214,Bengkulu,95,ID,1594928253,86,-3.8,102.27,77.18,5.01
215,San Quintín,0,MX,1594928253,65,30.48,-115.95,73.49,14.43
216,Atbasar,100,KZ,1594928253,53,51.8,68.33,66.09,9.19
217,Mlowo,1,TZ,1594928254,87,-9.0,32.98,48.06,8.32
218,Lircay,20,PE,1594928254,34,-12.99,-74.72,68.0,3.36
219,Ribeira Grande,75,PT,1594928254,73,38.52,-28.7,71.6,11.41
220,Lagoa,56,PT,1594927690,78,39.05,-27.98,68.43,12.44
221,Starkville,1,US,1594927981,74,33.45,-88.82,86.0,5.82
222,Swan Hill,0,AU,1594928254,92,-35.34,143.55,37.65,2.91
223,Hambantota,75,LK,1594928254,70,6.12,81.12,84.2,8.05
224,Mirny,20,RU,1594928254,93,62.54,113.96,55.4,6.71
225,Awjilah,0,LY,1594928254,39,29.11,21.29,84.79,15.82
226,Broken Hill,0,AU,1594928254,60,-31.95,141.43,41.0,5.82
227,Jiayuguan City,47,CN,1594928255,40,39.82,98.3,66.33,7.85
228,Kharan,0,PK,1594928255,31,28.58,65.42,89.47,5.61
229,Rawson,75,AR,1594927659,74,-43.3,-65.1,45.21,8.95
230,Nishihara,75,JP,1594928255,88,26.18,127.76,82.4,10.29
231,Fortuna,20,US,1594928255,77,40.6,-124.16,63.0,13.87
232,Jalu,0,LY,1594927660,29,29.03,21.55,88.93,15.43
233,Cleethorpes,81,GB,1594928096,73,53.56,-0.03,69.8,6.93
234,Nanortalik,20,GL,1594927491,54,60.14,-45.24,51.19,10.74
235,Portland,20,US,1594927651,56,45.52,-122.68,79.0,4.7
236,Bac Lieu,0,VN,1594928256,84,9.29,105.72,79.57,3.22
237,Prokop'yevsk,72,RU,1594928256,94,53.91,86.72,61.5,5.35
238,Härnösand,0,SE,1594928056,72,62.63,17.94,64.0,5.82
239,Tabou,90,CI,1594928256,78,4.42,-7.35,75.06,10.31
240,Mount Darwin,0,ZW,1594928256,72,-16.77,31.58,48.85,5.59
241,Natalio,67,PY,1594928257,94,-26.72,-55.08,67.59,3.56
242,Assiniboia,0,CA,1594928257,34,49.63,-105.98,78.46,8.37
243,Mogadishu,100,SO,1594928257,76,2.04,45.34,77.38,18.59
244,Atuona,0,PF,1594928257,76,-9.8,-139.03,79.74,19.66
245,Umm Kaddadah,5,SD,1594928257,41,13.6,26.69,87.75,14.92
246,Malakal,100,SS,1594928257,88,9.53,31.66,74.05,2.48
247,Meru,100,KE,1594928257,71,0.05,37.66,61.56,8.57
248,Mayo,20,US,1594928257,65,38.89,-76.51,84.0,16.11
249,Kapit,100,MY,1594928257,95,2.02,112.93,73.53,1.41
250,Dakar,40,SN,1594928146,74,14.69,-17.44,82.4,9.17
251,Pangnirtung,20,CA,1594928258,59,66.15,-65.71,60.8,9.17
252,Ostrovnoy,3,RU,1594928258,66,68.05,39.51,51.01,9.95
253,Chhāpar,0,IN,1594928258,43,27.82,74.4,94.93,12.3
254,Cururupu,4,BR,1594928258,73,-1.83,-44.87,81.75,4.52
255,Moog,85,PH,1594928258,91,8.6,124.47,75.0,4.0
256,Amapá,30,BR,1594928258,90,1.0,-52.0,79.88,2.91
257,Ţahţā,0,EG,1594928258,18,26.77,31.5,93.2,16.11
258,Chokwé,0,MZ,1594928258,84,-24.53,32.98,55.92,4.7
260,Belfast,73,GB,1594928259,64,54.58,-5.93,68.0,11.41
261,Chokurdakh,100,RU,1594928259,92,70.63,147.92,40.17,7.31
262,Mae Sai,40,TH,1594928259,88,20.43,99.88,80.6,4.7
263,Dikson,41,RU,1594928259,93,73.51,80.55,39.72,2.75
264,The Valley,20,AI,1594928259,58,18.22,-63.06,87.8,13.87
265,Kruisfontein,32,ZA,1594928259,53,-34.0,24.73,48.16,3.78
266,Coquimbo,20,CL,1594927678,76,-29.95,-71.34,55.4,9.17
267,Kiryat Gat,0,IL,1594928259,68,31.61,34.76,80.01,3.47
268,Qaqortoq,20,GL,1594928259,36,60.72,-46.03,64.4,9.17
269,Moengo,100,SR,1594928260,57,5.62,-54.4,88.05,4.34
270,Arraial do Cabo,75,BR,1594928260,64,-22.97,-42.03,71.6,8.05
271,Codrington,2,AU,1594928260,92,-38.27,141.97,38.75,7.81
272,Bereket,0,TM,1594928260,53,39.24,55.52,82.92,16.08
273,Comodoro Rivadavia,90,AR,1594928260,93,-45.87,-67.5,39.2,1.66
274,Mehamn,100,NO,1594928260,87,71.04,27.85,53.6,4.7
275,Funadhoo,100,MV,1594927706,79,6.15,73.27,83.84,11.5
276,Taoudenni,98,ML,1594928260,22,22.68,-3.98,99.88,9.57
277,Kenai,1,US,1594927715,72,60.55,-151.26,61.0,9.17
278,Codajás,100,BR,1594927661,43,-3.84,-62.06,91.92,3.33
279,Kavieng,2,PG,1594928260,72,-2.57,150.8,81.95,3.76
280,Shubarkuduk,0,KZ,1594928261,22,49.14,56.49,84.06,10.38
281,Koumac,25,NC,1594928261,63,-20.57,164.28,64.72,2.95
282,Coyhaique,90,CL,1594928261,86,-45.58,-72.07,32.0,3.36
283,Miraflores,20,MX,1594928261,31,19.22,-98.81,77.0,9.17
284,Acarí,53,PE,1594928261,54,-15.43,-74.62,69.78,8.12
285,Ponta Delgada,75,PT,1594928261,73,37.73,-25.67,69.8,12.75
286,Oruzgan,0,AF,1594928261,25,32.83,66.0,68.02,3.58
287,São João da Barra,75,BR,1594928261,64,-21.64,-41.05,71.6,9.17
289,Qaryat Sulūq,0,LY,1594928262,64,31.67,20.25,75.63,8.68
290,Arlit,0,NE,1594927497,30,18.74,7.39,92.71,24.72
291,Shache,100,CN,1594928262,39,38.42,77.24,74.97,17.72
292,Dingle,47,PH,1594928262,89,11.0,122.67,76.91,1.86
293,Vila Franca do Campo,75,PT,1594928262,73,37.72,-25.43,69.8,12.75
294,Lompoc,10,US,1594928114,60,34.64,-120.46,71.6,5.82
295,Oranjemund,0,NA,1594928262,25,-28.55,16.43,66.27,9.48
296,Atar,1,MR,1594927665,25,20.52,-13.05,98.6,6.93
297,Huilong,48,CN,1594927663,91,31.81,121.66,72.0,1.99
298,Tiznit Province,100,MA,1594928263,44,29.58,-9.5,82.89,3.83
299,Necochea,11,AR,1594927681,61,-38.55,-58.74,57.0,8.01
300,Roald,75,NO,1594927665,77,62.58,6.13,62.01,10.29
301,Krupina,40,SK,1594928263,68,48.36,19.06,64.4,3.36
302,Byron Bay,40,AU,1594928263,71,-28.65,153.62,52.0,8.05
303,Lampang,95,TH,1594928263,93,18.33,99.5,74.21,0.96
304,Khanbari,84,NP,1594928263,76,27.37,87.2,75.06,1.34
305,Santa Cruz de Barahona,40,DO,1594928263,49,18.21,-71.1,93.2,13.87
306,Kamenka,0,RU,1594927715,62,51.32,42.77,64.0,4.97
307,Solnechnyy,46,RU,1594928264,86,50.72,136.63,68.25,1.5
308,Shenjiamen,100,CN,1594928264,93,29.96,122.3,73.94,8.63
309,Henties Bay,0,NA,1594927714,33,-22.12,14.28,64.99,7.23
310,Médéa,0,DZ,1594928264,73,36.26,2.75,75.2,18.34
311,Catuday,42,PH,1594928264,80,16.29,119.81,81.59,10.38
312,Agadez,20,NE,1594928264,31,19.75,10.25,88.83,5.1
313,Saldanha,0,ZA,1594928264,66,-33.01,17.94,51.8,10.22
314,Sol'-Iletsk,21,RU,1594928264,34,51.16,54.99,80.85,10.11
315,Severo-Kuril'sk,86,RU,1594928265,90,50.68,156.12,51.1,4.72
316,Alyangula,0,AU,1594928265,93,-13.85,136.42,57.2,9.53
317,Lerwick,100,GB,1594928265,93,60.15,-1.15,55.4,11.41
318,Gamba,67,GA,1594928265,94,-2.65,10.0,71.4,6.22
319,Saint George,1,US,1594928111,12,37.1,-113.58,100.99,4.7
320,Boyuibe,86,BO,1594928265,42,-20.42,-63.28,82.09,8.84
321,Ponta do Sol,12,PT,1594927970,69,32.67,-17.1,73.4,4.7
322,Langen,75,DE,1594928266,93,49.99,8.67,64.99,1.12
323,Bantogon,100,PH,1594928266,80,6.53,124.03,76.89,3.87
324,Port Lincoln,0,AU,1594928038,73,-34.73,135.87,52.83,8.43
325,Saint-Augustin,2,CA,1594928266,46,51.23,-58.65,69.22,15.52
326,Sechura,8,PE,1594927709,59,-5.56,-80.82,73.6,12.33
327,Huruta,98,ET,1594928266,74,8.15,39.35,59.5,5.99
328,Hay River,75,CA,1594928266,72,60.82,-115.8,60.8,14.99
330,Manokwari,0,ID,1594928267,71,-0.87,134.08,78.84,4.41
331,Erenhot,100,CN,1594928267,36,43.65,111.98,74.71,13.58
332,Port Blair,100,IN,1594927520,80,11.67,92.75,80.71,7.4
333,Flin Flon,75,CA,1594928267,59,54.77,-101.86,66.2,13.87
334,Zaplavnoye,83,RU,1594928267,40,48.7,45.02,73.0,4.47
335,Gao,14,ML,1594928267,44,16.64,1.64,89.37,12.59
336,Acaraú,0,BR,1594928267,68,-2.89,-40.12,81.91,14.85
337,Zhigansk,100,RU,1594928267,93,66.77,123.37,61.18,7.23
338,Kuala Terengganu,20,MY,1594928267,94,5.33,103.14,77.0,3.36
339,Al Bardīyah,0,LY,1594928268,81,31.76,25.09,74.55,14.58
340,Norman,40,US,1594928268,70,35.22,-97.44,87.8,13.87
341,Boguchany,100,RU,1594928268,94,58.38,97.45,58.41,5.64
342,Forsytheganj,63,BY,1594928268,78,52.63,29.73,58.48,4.29
343,Savannah Bight,99,HN,1594927703,76,16.45,-85.85,82.94,6.85
344,Laguna,1,US,1594928269,42,38.42,-121.42,84.0,8.05
345,Verkhoyansk,86,RU,1594928269,50,67.54,133.38,52.34,2.71
346,Takoradze,3,GH,1594928269,84,4.88,-1.76,74.88,8.59
347,Paita,40,PE,1594928269,83,-5.09,-81.11,71.6,12.75
348,Tommot,72,RU,1594928269,82,58.96,126.29,62.02,1.74
349,Ambulu,46,ID,1594928269,86,-8.35,113.61,73.92,3.22
350,Tessalit,63,ML,1594928269,25,20.2,1.01,93.29,13.67
351,Praia,75,CV,1594928269,61,14.92,-23.51,80.6,13.87
352,Walvis Bay,0,NA,1594928269,9,-22.96,14.51,73.4,16.11
353,Acapulco de Juárez,5,MX,1594928056,63,16.86,-99.89,91.4,7.45
354,Tangshan,91,CN,1594928270,67,39.63,118.18,78.22,4.99
355,Aksarka,0,RU,1594928270,80,66.56,67.8,47.03,1.68
356,Villazón,93,BO,1594928270,25,-22.09,-65.59,58.77,6.13
357,Ormara,96,PK,1594928270,82,25.21,64.64,85.78,17.38
358,Urgut,90,UZ,1594928270,34,39.4,67.24,80.6,11.41
359,Koulikoro,100,ML,1594928270,80,14.0,-7.75,74.21,4.12
360,Chengzhong,40,CN,1594928270,94,30.95,113.55,75.2,4.47
361,Korla,0,CN,1594927685,79,41.76,86.15,77.0,5.01
362,Kānt,43,IN,1594928271,58,27.8,79.8,90.41,10.8
363,Santa Rita,75,BR,1594928271,88,-7.11,-34.98,75.2,6.93
364,Pandan,5,PH,1594928271,82,14.05,124.17,81.84,8.21
365,Boysun,9,UZ,1594928271,18,38.21,67.2,77.83,6.71
366,Belyy Yar,68,RU,1594928271,63,53.6,91.39,64.4,5.95
367,Bowen,0,AU,1594928126,93,-20.02,148.23,51.01,6.35
368,Takaungu,20,KE,1594928271,69,-3.68,39.86,77.0,6.93
369,Rancho Palos Verdes,20,US,1594928267,68,33.74,-118.39,73.0,12.75
370,Gamboma,100,CG,1594928272,64,-1.88,15.86,79.75,1.34
371,São Filipe,37,CV,1594928272,79,14.9,-24.5,76.03,10.18
372,Lakatoro,20,VU,1594928272,94,-16.1,167.42,69.8,6.06
373,Pingyi,67,CN,1594928272,87,35.5,117.63,69.91,4.43
374,Husavik,75,IS,1594928272,93,66.04,-17.34,51.8,11.41
375,Port Keats,0,AU,1594928272,38,-14.25,129.55,62.19,7.02
376,Dawson Creek,40,CA,1594928272,59,55.77,-120.24,66.2,11.41
377,Fukuechō,46,JP,1594928273,86,32.69,128.84,72.43,13.76
378,Harper,100,LR,1594928273,77,4.38,-7.72,75.15,9.57
379,Cidreira,100,BR,1594928021,88,-30.18,-50.21,53.19,15.17
380,Florø,75,NO,1594928273,77,61.6,5.03,59.0,18.34
381,Svetlaya,28,RU,1594928273,90,46.54,138.33,62.98,4.12
382,Abu Dhabi,4,AE,1594928273,56,24.47,54.37,100.4,6.93
